Codice,Provincia,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
023,Verona,440124,456192,896316,4892,4637,9529,3842,4084,7926,1050,553,1603,13251,12636,25887,6132,6365,12497,608,257,865,12658,12139,24797,792,682,1474,1637,768,2405,4904,5669,10573,443620,456920,900540,2458,5494,7952,0,0,0,446078,462414,908492,374088,441,2.4
024,Vicenza,421134,431108,852242,4684,4432,9116,3529,3717,7246,1155,715,1870,12308,12138,24446,4679,5188,9867,375,180,555,11907,11918,23825,857,684,1541,1185,661,1846,3413,4243,7656,423693,430033,853726,2009,6033,8042,0,0,0,425702,436066,861768,342108,425,2.5
025,Belluno,102767,110845,213612,919,892,1811,1160,1398,2558,-241,-506,-747,2551,2691,5242,811,1008,1819,57,31,88,2461,2773,5234,285,235,520,133,101,234,540,621,1161,102537,109743,212280,529,1217,1746,0,0,0,103066,110960,214026,95099,126,2.2
026,Treviso,428983,440551,869534,4698,4667,9365,3672,3788,7460,1026,879,1905,13498,13574,27072,4838,5157,9995,441,173,614,12949,12990,25939,1252,959,2211,1049,513,1562,3527,4442,7969,431259,441266,872525,2277,4606,6883,0,0,0,433536,445872,879408,345712,412,2.5
027,Venezia,410327,434279,844606,4002,3673,7675,4122,4329,8451,-120,-656,-776,10005,9697,19702,4699,5791,10490,696,492,1188,9367,9357,18724,723,558,1281,917,501,1418,4393,5564,9957,413012,436061,849073,1588,3126,4714,0,0,0,414600,439187,853787,359511,356,2.4
028,Padova,444609,465166,909775,4700,4427,9127,4071,4186,8257,629,241,870,13606,13779,27385,5095,6182,11277,496,249,745,12707,13169,25876,882,675,1557,1144,572,1716,4464,5794,10258,447135,466419,913554,2567,4782,7349,0,0,0,449702,471201,920903,367554,567,2.5
029,Rovigo,119501,126754,246255,1040,952,1992,1359,1521,2880,-319,-569,-888,2966,2968,5934,979,1341,2320,158,97,255,2918,3116,6034,162,165,327,226,125,351,797,1000,1797,119207,125570,244777,772,1615,2387,0,0,0,119979,127185,247164,101119,113,2.4
030,Udine,260209,275783,535992,2254,2185,4439,2899,3126,6025,-645,-941,-1586,8238,8344,16582,2193,2505,4698,170,110,280,7276,7536,14812,577,471,1048,232,151,383,2516,2801,5317,260334,275747,536081,1746,1896,3642,0,0,0,262080,277643,539723,237131,248,2.3
031,Gorizia,69166,72782,141948,627,544,1171,801,941,1742,-174,-397,-571,2376,2247,4623,740,719,1459,136,37,173,2301,2201,4502,172,132,304,253,112,365,526,558,1084,69034,72226,141260,484,717,1201,0,0,0,69518,72943,142461,64830,96,2.2
032,Trieste,111239,125218,236457,948,837,1785,1607,1924,3531,-659,-1087,-1746,1588,1698,3286,1050,1066,2116,26,18,44,1558,1489,3047,275,189,464,183,70,253,648,1034,1682,110328,122950,233278,900,2215,3115,0,0,0,111228,125165,236393,120666,205,1.9
033,Piacenza,137164,144452,281616,1303,1178,2481,1674,1849,3523,-371,-671,-1042,4673,4499,9172,2207,2338,4545,128,80,208,3993,3991,7984,190,142,332,153,108,261,2672,2676,5348,138614,145330,283944,851,1127,1978,0,0,0,139465,146457,285922,126923,146,2.2
034,Parma,206738,218964,425702,2164,1972,4136,2437,2676,5113,-273,-704,-977,7712,7497,15209,3198,3815,7013,247,282,529,6412,6281,12693,323,311,634,605,390,995,3817,4612,8429,209142,221385,430527,1140,1487,2627,0,0,0,210282,222872,433154,196904,224,2.2
035,Reggio Emilia,251702,258422,510124,2970,2864,5834,2396,2766,5162,574,98,672,8797,8092,16889,3273,3917,7190,317,146,463,7315,6881,14196,368,330,698,700,286,986,4004,4658,8662,255551,261912,517463,729,1266,1995,0,0,0,256280,263178,519458,217959,220,2.4
036,Modena,332152,345520,677672,3757,3444,7201,3298,3472,6770,459,-28,431,11629,10714,22343,4297,4785,9082,860,479,1339,10293,9459,19752,471,438,909,1276,644,1920,4746,5437,10183,336168,348909,685077,1189,2020,3209,0,0,0,337357,350929,688286,290360,267,2.4
037,Bologna,464759,499315,964074,4569,4286,8855,5307,5854,11161,-738,-1568,-2306,17382,17102,34484,5660,6775,12435,736,337,1073,15515,15128,30643,705,583,1288,1133,521,1654,6425,7982,14407,467536,501712,969248,2910,4017,6927,0,0,0,470446,505729,976175,461490,685,2.1
038,Ferrara,170423,185386,355809,1453,1385,2838,2149,2473,4622,-696,-1088,-1784,4514,4507,9021,1417,1979,3396,237,112,349,3746,3819,7565,220,217,437,530,279,809,1672,2283,3955,170483,185078,355561,916,1503,2419,0,0,0,171399,186581,357980,160696,197,2.2
