"Codice","SESSO","ETA","occ","Regione"
5,2,55,18993.416667,"VENETO"
5,1,58,19970.75,"VENETO"
5,2,37,24372.916667,"VENETO"
5,1,59,17500.916667,"VENETO"
5,2,31,18805.583333,"VENETO"
5,2,25,13108.166667,"VENETO"
5,2,19,3721.1666667,"VENETO"
5,2,50,25451.666667,"VENETO"
5,1,64,7768.9166667,"VENETO"
5,2,38,25559.75,"VENETO"
5,1,52,31908.416667,"VENETO"
5,2,32,19228.416667,"VENETO"
5,1,46,36408.416667,"VENETO"
5,2,49,27657.916667,"VENETO"
5,2,43,27071.5,"VENETO"
5,1,65,7027.25,"VENETO"
5,2,39,27232.833333,"VENETO"
5,1,53,29250.333333,"VENETO"
5,1,16,292.75,"VENETO"
5,2,56,17570.166667,"VENETO"
5,2,21,7022.0833333,"VENETO"
5,2,44,27824.333333,"VENETO"
5,2,15,40.5,"VENETO"
5,1,60,15090.833333,"VENETO"
5,1,54,28900.166667,"VENETO"
5,2,26,13637,"VENETO"
5,2,20,5671.0833333,"VENETO"
5,2,51,24222.666667,"VENETO"
5,2,45,27361.083333,"VENETO"
5,2,16,195.75,"VENETO"
5,1,61,12643.75,"VENETO"
5,2,33,19402.75,"VENETO"
5,1,47,36583.583333,"VENETO"
5,2,58,13409.416667,"VENETO"
5,2,52,23594.833333,"VENETO"
5,2,46,27548.083333,"VENETO"
5,2,40,27068.666667,"VENETO"
5,1,62,9777.5,"VENETO"
5,1,17,1014.0833333,"VENETO"
5,2,57,15729,"VENETO"
5,2,22,8570.4166667,"VENETO"
5,2,53,21770.666667,"VENETO"
5,2,47,27596.5,"VENETO"
5,2,41,26977.583333,"VENETO"
5,1,55,26440.5,"VENETO"
5,2,27,14867.166667,"VENETO"
5,1,49,36010.416667,"VENETO"
5,2,23,9893.6666667,"VENETO"
5,2,54,21182.666667,"VENETO"
5,2,17,643.25,"VENETO"
5,2,42,27478.083333,"VENETO"
5,2,34,20703.666667,"VENETO"
5,1,48,36944.166667,"VENETO"
5,2,59,11735.666667,"VENETO"
5,1,44,36985.25,"VENETO"
5,2,63,3622.3333333,"VENETO"
5,2,18,1605.4166667,"VENETO"
5,1,63,8788.4166667,"VENETO"
5,1,18,2731.25,"VENETO"
5,2,29,16840.083333,"VENETO"
5,2,60,9594.4166667,"VENETO"
5,1,45,35594.75,"VENETO"
5,2,48,27599.333333,"VENETO"
5,1,28,19789.583333,"VENETO"
5,1,56,25455.75,"VENETO"
5,2,28,16352.916667,"VENETO"
5,1,50,34085.166667,"VENETO"
5,2,24,11414.916667,"VENETO"
5,1,25,16252.916667,"VENETO"
5,2,65,2666.6666667,"VENETO"
5,1,29,20309.416667,"VENETO"
5,2,35,22479.75,"VENETO"
5,1,20,8349.6666667,"VENETO"
5,1,51,32599.833333,"VENETO"
5,2,62,4544.6666667,"VENETO"
5,2,64,3045.75,"VENETO"
5,1,36,29244.916667,"VENETO"
5,1,30,21535.75,"VENETO"
5,1,19,5624.8333333,"VENETO"
5,2,30,17277.25,"VENETO"
5,2,61,7872.9166667,"VENETO"
5,1,33,24399.25,"VENETO"
5,1,27,17736.666667,"VENETO"
5,1,37,30416,"VENETO"
5,1,57,22630.583333,"VENETO"
5,1,23,13274.416667,"VENETO"
5,1,22,11712,"VENETO"
5,1,24,14521.166667,"VENETO"
5,1,26,16991.333333,"VENETO"
5,1,31,22309.75,"VENETO"
5,1,41,35070,"VENETO"
5,2,36,23336.333333,"VENETO"
5,1,21,10517.916667,"VENETO"
5,1,34,26070.083333,"VENETO"
5,1,39,34705.833333,"VENETO"
5,1,35,27845.75,"VENETO"
5,1,32,23670.5,"VENETO"
5,1,40,34871.416667,"VENETO"
5,1,42,35488.25,"VENETO"
5,1,38,32405.333333,"VENETO"
5,1,43,35670.333333,"VENETO"
6,2,19,631.16666667,"FRIULI-VENEZIA GIULIA"
6,1,54,6839.0833333,"FRIULI-VENEZIA GIULIA"
6,2,42,6925.9166667,"FRIULI-VENEZIA GIULIA"
6,1,53,7079.25,"FRIULI-VENEZIA GIULIA"
6,1,52,7652.0833333,"FRIULI-VENEZIA GIULIA"
6,1,57,5520.4166667,"FRIULI-VENEZIA GIULIA"
6,2,37,5835.8333333,"FRIULI-VENEZIA GIULIA"
6,1,56,5826.0833333,"FRIULI-VENEZIA GIULIA"
6,2,20,948.66666667,"FRIULI-VENEZIA GIULIA"
6,2,40,6731.3333333,"FRIULI-VENEZIA GIULIA"
6,1,65,1576.9166667,"FRIULI-VENEZIA GIULIA"
6,2,21,1331.25,"FRIULI-VENEZIA GIULIA"
6,2,41,6983.25,"FRIULI-VENEZIA GIULIA"
6,1,55,6244.8333333,"FRIULI-VENEZIA GIULIA"
6,2,56,5018.8333333,"FRIULI-VENEZIA GIULIA"
6,2,50,6815.8333333,"FRIULI-VENEZIA GIULIA"
6,1,64,1793,"FRIULI-VENEZIA GIULIA"
6,1,58,5061.4166667,"FRIULI-VENEZIA GIULIA"
6,2,22,1727.75,"FRIULI-VENEZIA GIULIA"
6,2,24,2443.75,"FRIULI-VENEZIA GIULIA"
6,2,39,6751.5833333,"FRIULI-VENEZIA GIULIA"
6,2,49,7136.5833333,"FRIULI-VENEZIA GIULIA"
6,2,43,7146.75,"FRIULI-VENEZIA GIULIA"
6,2,45,6923.3333333,"FRIULI-VENEZIA GIULIA"
6,1,59,4384.4166667,"FRIULI-VENEZIA GIULIA"
6,2,23,2072,"FRIULI-VENEZIA GIULIA"
6,2,38,6135.6666667,"FRIULI-VENEZIA GIULIA"
6,1,47,8580.4166667,"FRIULI-VENEZIA GIULIA"
6,2,58,3852.4166667,"FRIULI-VENEZIA GIULIA"
6,2,44,7029.25,"FRIULI-VENEZIA GIULIA"
6,2,15,7.6666666667,"FRIULI-VENEZIA GIULIA"
6,1,60,3759,"FRIULI-VENEZIA GIULIA"
6,1,15,9.9166666667,"FRIULI-VENEZIA GIULIA"
6,2,55,5278.5,"FRIULI-VENEZIA GIULIA"
6,2,57,4346.1666667,"FRIULI-VENEZIA GIULIA"
6,2,51,6364.6666667,"FRIULI-VENEZIA GIULIA"
6,2,53,5814.75,"FRIULI-VENEZIA GIULIA"
6,2,16,39.166666667,"FRIULI-VENEZIA GIULIA"
6,2,31,4319.25,"FRIULI-VENEZIA GIULIA"
6,2,25,2740.1666667,"FRIULI-VENEZIA GIULIA"
6,2,27,3239.5833333,"FRIULI-VENEZIA GIULIA"
6,1,49,8792.5833333,"FRIULI-VENEZIA GIULIA"
6,2,52,6074.5,"FRIULI-VENEZIA GIULIA"
6,2,46,7059.9166667,"FRIULI-VENEZIA GIULIA"
6,2,17,141.91666667,"FRIULI-VENEZIA GIULIA"
6,2,32,4304.5,"FRIULI-VENEZIA GIULIA"
6,1,46,8562.1666667,"FRIULI-VENEZIA GIULIA"
6,1,48,8707.4166667,"FRIULI-VENEZIA GIULIA"
6,2,59,3251.9166667,"FRIULI-VENEZIA GIULIA"
6,1,44,8705.8333333,"FRIULI-VENEZIA GIULIA"
6,2,47,7157,"FRIULI-VENEZIA GIULIA"
6,1,61,3071.75,"FRIULI-VENEZIA GIULIA"
6,1,16,51.25,"FRIULI-VENEZIA GIULIA"
6,1,18,457.08333333,"FRIULI-VENEZIA GIULIA"
6,2,29,3760.0833333,"FRIULI-VENEZIA GIULIA"
6,2,60,2749,"FRIULI-VENEZIA GIULIA"
