"TIME","GEO","AGE","AGEDEF","UNIT","SEX","Value","Flag and Footnotes"
"2006","Italy","83 years","Age reached during the year","Number","Total","104",""
"2006","Italy","83 years","Age reached during the year","Number","Males","42",""
"2006","Italy","83 years","Age reached during the year","Number","Females","62",""
"2006","Italy","84 years","Age reached during the year","Number","Total","102",""
"2006","Italy","84 years","Age reached during the year","Number","Males","46",""
"2006","Italy","84 years","Age reached during the year","Number","Females","56",""
"2006","Italy","85 years","Age reached during the year","Number","Total","94",""
"2006","Italy","85 years","Age reached during the year","Number","Males","33",""
"2006","Italy","85 years","Age reached during the year","Number","Females","61",""
"2006","Italy","86 years","Age reached during the year","Number","Total","85",""
"2006","Italy","86 years","Age reached during the year","Number","Males","33",""
"2006","Italy","86 years","Age reached during the year","Number","Females","52",""
"2006","Italy","87 years","Age reached during the year","Number","Total","48",""
"2006","Italy","87 years","Age reached during the year","Number","Males","23",""
"2006","Italy","87 years","Age reached during the year","Number","Females","25",""
"2006","Italy","88 years","Age reached during the year","Number","Total","34",""
"2006","Italy","88 years","Age reached during the year","Number","Males","12",""
"2006","Italy","88 years","Age reached during the year","Number","Females","22",""
"2006","Italy","89 years","Age reached during the year","Number","Total","25",""
"2006","Italy","89 years","Age reached during the year","Number","Males","7",""
"2006","Italy","89 years","Age reached during the year","Number","Females","18",""
"2006","Italy","90 years","Age reached during the year","Number","Total","24",""
"2006","Italy","90 years","Age reached during the year","Number","Males","9",""
"2006","Italy","90 years","Age reached during the year","Number","Females","15",""
"2006","Italy","91 years","Age reached during the year","Number","Total","25",""
"2006","Italy","91 years","Age reached during the year","Number","Males","13",""
"2006","Italy","91 years","Age reached during the year","Number","Females","12",""
"2006","Italy","92 years","Age reached during the year","Number","Total","13",""
"2006","Italy","92 years","Age reached during the year","Number","Males","4",""
"2006","Italy","92 years","Age reached during the year","Number","Females","9",""
"2006","Italy","93 years","Age reached during the year","Number","Total","16",""
"2006","Italy","93 years","Age reached during the year","Number","Males","4",""
"2006","Italy","93 years","Age reached during the year","Number","Females","12",""
"2006","Italy","94 years","Age reached during the year","Number","Total","7",""
"2006","Italy","94 years","Age reached during the year","Number","Males","1",""
"2006","Italy","94 years","Age reached during the year","Number","Females","6",""
"2006","Italy","95 years","Age reached during the year","Number","Total","7",""
"2006","Italy","95 years","Age reached during the year","Number","Males","2",""
"2006","Italy","95 years","Age reached during the year","Number","Females","5",""
"2006","Italy","96 years","Age reached during the year","Number","Total","5",""
"2006","Italy","96 years","Age reached during the year","Number","Males","1",""
"2006","Italy","96 years","Age reached during the year","Number","Females","4",""
"2006","Italy","97 years","Age reached during the year","Number","Total","4",""
"2006","Italy","97 years","Age reached during the year","Number","Males","1",""
"2006","Italy","97 years","Age reached during the year","Number","Females","3",""
"2006","Italy","98 years","Age reached during the year","Number","Total","1",""
"2006","Italy","98 years","Age reached during the year","Number","Males","0",""
"2006","Italy","98 years","Age reached during the year","Number","Females","1",""
"2006","Italy","99 years","Age reached during the year","Number","Total","2",""
"2006","Italy","99 years","Age reached during the year","Number","Males","1",""
"2006","Italy","99 years","Age reached during the year","Number","Females","1",""
"2006","Italy","100 years or over","Age reached during the year","Number","Total","4",""
"2006","Italy","100 years or over","Age reached during the year","Number","Males","0",""
"2006","Italy","100 years or over","Age reached during the year","Number","Females","4",""
"2006","Italy","Unknown","Age reached during the year","Number","Total","0",""
"2006","Italy","Unknown","Age reached during the year","Number","Males","0",""
"2006","Italy","Unknown","Age reached during the year","Number","Females","0",""
"2007","Italy","Total","Age reached during the year","Number","Total","51,113",""
"2007","Italy","Total","Age reached during the year","Number","Males","27,935",""
"2007","Italy","Total","Age reached during the year","Number","Females","23,178",""
"2007","Italy","Less than 1 year","Age reached during the year","Number","Total","191",""
"2007","Italy","Less than 1 year","Age reached during the year","Number","Males","102",""
"2007","Italy","Less than 1 year","Age reached during the year","Number","Females","89",""
"2007","Italy","1 year","Age reached during the year","Number","Total","663",""
"2007","Italy","1 year","Age reached during the year","Number","Males","346",""
"2007","Italy","1 year","Age reached during the year","Number","Females","317",""
"2007","Italy","2 years","Age reached during the year","Number","Total","725",""
"2007","Italy","2 years","Age reached during the year","Number","Males","375",""
"2007","Italy","2 years","Age reached during the year","Number","Females","350",""
"2007","Italy","3 years","Age reached during the year","Number","Total","636",""
"2007","Italy","3 years","Age reached during the year","Number","Males","307",""
