Tipo di indicatore demografico,Sesso,Età,Territorio di origine,Seleziona periodo,Tipo di trasferimento,0
totali cancellati,femmine,18-39 anni,Emilia-Romagna,2015,in altre regioni,5767
totali cancellati,femmine,18-39 anni,Emilia-Romagna,2016,in altre regioni,5778
totali cancellati,femmine,40-64 anni,Emilia-Romagna,2015,in altre regioni,3211
totali cancellati,femmine,40-64 anni,Emilia-Romagna,2016,in altre regioni,3477
totali cancellati,maschi,fino a 17 anni,Emilia-Romagna,2015,estero,1372
totali cancellati,maschi,fino a 17 anni,Emilia-Romagna,2016,estero,1527
totali cancellati,maschi,65 anni e più,Emilia-Romagna,2015,estero,256
totali cancellati,maschi,65 anni e più,Emilia-Romagna,2016,estero,283
totali cancellati,maschi,18-39 anni,Emilia-Romagna,2015,estero,2440
totali cancellati,maschi,18-39 anni,Emilia-Romagna,2016,estero,2712
totali cancellati,maschi,40-64 anni,Emilia-Romagna,2015,estero,1775
totali cancellati,maschi,40-64 anni,Emilia-Romagna,2016,estero,1865
totali cancellati,femmine,fino a 17 anni,Emilia-Romagna,2015,estero,1305
totali cancellati,femmine,fino a 17 anni,Emilia-Romagna,2016,estero,1357
totali cancellati,femmine,65 anni e più,Emilia-Romagna,2015,estero,342
totali cancellati,femmine,65 anni e più,Emilia-Romagna,2016,estero,367
totali cancellati,femmine,18-39 anni,Emilia-Romagna,2015,estero,2229
totali cancellati,femmine,18-39 anni,Emilia-Romagna,2016,estero,2617
totali cancellati,femmine,40-64 anni,Emilia-Romagna,2015,estero,1582
totali cancellati,femmine,40-64 anni,Emilia-Romagna,2016,estero,1703
totali cancellati,maschi,fino a 17 anni,Toscana,2015,in altre regioni,1427
totali cancellati,maschi,fino a 17 anni,Toscana,2016,in altre regioni,1495
totali cancellati,maschi,65 anni e più,Toscana,2015,in altre regioni,657
totali cancellati,maschi,65 anni e più,Toscana,2016,in altre regioni,710
totali cancellati,maschi,18-39 anni,Toscana,2015,in altre regioni,4014
totali cancellati,maschi,18-39 anni,Toscana,2016,in altre regioni,4084
totali cancellati,maschi,40-64 anni,Toscana,2015,in altre regioni,2500
totali cancellati,maschi,40-64 anni,Toscana,2016,in altre regioni,2686
