"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2007","Italy","Age reached during the year","21 years","Number","Total","14,074",""
"2007","Italy","Age reached during the year","21 years","Number","Males","6,713",""
"2007","Italy","Age reached during the year","21 years","Number","Females","7,361",""
"2007","Italy","Age reached during the year","22 years","Number","Total","16,011",""
"2007","Italy","Age reached during the year","22 years","Number","Males","7,408",""
"2007","Italy","Age reached during the year","22 years","Number","Females","8,603",""
"2007","Italy","Age reached during the year","23 years","Number","Total","17,321",""
"2007","Italy","Age reached during the year","23 years","Number","Males","8,078",""
"2007","Italy","Age reached during the year","23 years","Number","Females","9,243",""
"2007","Italy","Age reached during the year","24 years","Number","Total","17,435",""
"2007","Italy","Age reached during the year","24 years","Number","Males","8,159",""
"2007","Italy","Age reached during the year","24 years","Number","Females","9,276",""
"2007","Italy","Age reached during the year","25 years","Number","Total","18,932",""
"2007","Italy","Age reached during the year","25 years","Number","Males","8,730",""
"2007","Italy","Age reached during the year","25 years","Number","Females","10,202",""
"2007","Italy","Age reached during the year","26 years","Number","Total","19,376",""
"2007","Italy","Age reached during the year","26 years","Number","Males","9,114",""
"2007","Italy","Age reached during the year","26 years","Number","Females","10,262",""
"2007","Italy","Age reached during the year","27 years","Number","Total","19,809",""
"2007","Italy","Age reached during the year","27 years","Number","Males","9,464",""
"2007","Italy","Age reached during the year","27 years","Number","Females","10,345",""
"2007","Italy","Age reached during the year","28 years","Number","Total","19,004",""
"2007","Italy","Age reached during the year","28 years","Number","Males","9,129",""
"2007","Italy","Age reached during the year","28 years","Number","Females","9,875",""
"2007","Italy","Age reached during the year","29 years","Number","Total","18,111",""
"2007","Italy","Age reached during the year","29 years","Number","Males","8,793",""
"2007","Italy","Age reached during the year","29 years","Number","Females","9,318",""
"2007","Italy","Age reached during the year","30 years","Number","Total","17,013",""
"2007","Italy","Age reached during the year","30 years","Number","Males","8,301",""
"2007","Italy","Age reached during the year","30 years","Number","Females","8,712",""
"2007","Italy","Age reached during the year","31 years","Number","Total","16,108",""
"2007","Italy","Age reached during the year","31 years","Number","Males","7,861",""
"2007","Italy","Age reached during the year","31 years","Number","Females","8,247",""
"2007","Italy","Age reached during the year","32 years","Number","Total","15,121",""
"2007","Italy","Age reached during the year","32 years","Number","Males","7,453",""
"2007","Italy","Age reached during the year","32 years","Number","Females","7,668",""
"2007","Italy","Age reached during the year","33 years","Number","Total","14,220",""
"2007","Italy","Age reached during the year","33 years","Number","Males","6,997",""
"2007","Italy","Age reached during the year","33 years","Number","Females","7,223",""
"2007","Italy","Age reached during the year","34 years","Number","Total","12,459",""
"2007","Italy","Age reached during the year","34 years","Number","Males","5,901",""
"2007","Italy","Age reached during the year","34 years","Number","Females","6,558",""
"2007","Italy","Age reached during the year","35 years","Number","Total","12,076",""
"2007","Italy","Age reached during the year","35 years","Number","Males","5,742",""
"2007","Italy","Age reached during the year","35 years","Number","Females","6,334",""
"2007","Italy","Age reached during the year","36 years","Number","Total","11,534",""
"2007","Italy","Age reached during the year","36 years","Number","Males","5,338",""
"2007","Italy","Age reached during the year","36 years","Number","Females","6,196",""
"2007","Italy","Age reached during the year","37 years","Number","Total","11,587",""
"2007","Italy","Age reached during the year","37 years","Number","Males","5,329",""
"2007","Italy","Age reached during the year","37 years","Number","Females","6,258",""
"2007","Italy","Age reached during the year","38 years","Number","Total","11,345",""
"2007","Italy","Age reached during the year","38 years","Number","Males","5,038",""
"2007","Italy","Age reached during the year","38 years","Number","Females","6,307",""
"2007","Italy","Age reached during the year","39 years","Number","Total","11,690",""
"2007","Italy","Age reached during the year","39 years","Number","Males","5,072",""
"2007","Italy","Age reached during the year","39 years","Number","Females","6,618",""
"2007","Italy","Age reached during the year","40 years","Number","Total","11,049",""
"2007","Italy","Age reached during the year","40 years","Number","Males","4,661",""
"2007","Italy","Age reached during the year","40 years","Number","Females","6,388",""
